na_signalech_mam_profil,o_signalech_jsem_se_poprve_dozvedel,na_signaly_chodim,na_signaly_chodim_hlavne,signaly_jsem_vyuzil_k,na_signalech_se_mi_povedlo,jsem_autorizovany,funkcionality[status][pisu],funkcionality[status][ctu],funkcionality[status][komentuji],funkcionality[sledovane_blogy][ctu],funkcionality[blogy_vyber][ctu],funkcionality[blogy_nesledovane][ctu],funkcionality[blog][komentuji],funkcionality[blog][pisu],funkcionality[fotky][prohlizim],funkcionality[fotky][vkladam],funkcionality[akce][prohlizim],funkcionality[akce][vkladam],funkcionality[zed_spolecenstvi][ctu],funkcionality[zed_spolecenstvi][pisu],funkcionality[videa][prohlizim],funkcionality[videa][vkladam],funkcionality[autorizovani][chat],jine_site[Facebook],jine_site[Twitter],jine_site[Youtube],jine_site[Instagram],jine_site[Googleplus],jine_site[Lidecz],pouzivas_dalsi_socialni_site,"Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Používám jenom Signály, jiné sociální sítě nepotřebuji]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Signály jsou pro mě nejdůležitější sociální síť]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli kamarádům, kteří na jiných sociálních sítích nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli zajímavým lidem, kteří nejsou na jiných sociálních sítích]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli něčemu, co se děje jenom tam (např. Aktivita nějakého společenství)]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli informacím, které jinde nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli blogům, které rád čtu]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem proto, že mám rád křesťanské prostředí]","Pokud jseš na Signálech (ještě) kvůli něčemu jinému, můžeš nám to prozradit tady:"," [Těší mě, když se mým kamarádům líbí můj obsah (status, fotka, blog, video)]"," [Těší mě, když se cizím lidem líbí můj obsah]"," [Těší mě, když moji kamarádi komentují můj obsah]"," [Těší mě, když cizí lidé komentují můj obsah]"," [Těší mě, když mi kamarádi píšou soukromé zprávy]"," [Těší mě, když mi cizí lidé píšou soukromé zprávy]", [Autorizovaní uživatelé jsou pro mě důvěryhodnější než neautorizovaní]," [Komunikace na Signálech mě někdy obtěžuje, nebo je mi z ní těžko]"," [Na Signálech jsem zažil/a situace, které jsou mi nepříjemné]"," [Na Signálech jsem zažil/a situace, které zažívat nechci]",na_signalech_jsem_zazil,"(Jen ti, kdo zažili nepříjemné komentáře) Komentáře mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné komentáře) [Uvažoval/a jsem, že kvůli nepříjemným komentářům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné komentáře) [Na Signálech by mělo být zakázané psát takové komentáře]","(Jen ti, kdo zažili nepříjemné komentáře) [Ti, kdo píší takové komentáře, by na Signálech vůbec neměli být]","(Jen ti, kdo zažili nepříjemné vzkazy) Vzkazy mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné vzkazy) [Uvažoval/a jsem, že kvůli nepříjemným vzkazům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné vzkazy) [Na Signálech by mělo být zakázané psát takové vzkazy]","(Jen ti, kdo zažili nepříjemné vzkazy) [Ti, kdo píší takové vzkazy, by na Signálech vůbec neměli být]",jsem,vek,studuji,(Jen žáci a studenti) Jsem žák / student,moje_nejvyssi_dosazene_vzdelani
10 let,od kamaráda,jednou za měsíc nebo méně,Protože tu píšu blog,"Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,,méně než jednou týdně,,,,,méně než jednou týdně,méně než jednou týdně,,,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,ne,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,Kvůli psaní blogu.,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše nesouhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Nevěděl/a jsem, od koho jsou, Pisatel psal, že nemám pravdu, Urážely mě",spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,"Nevěděl/a jsem, od koho jsou, Pisatel psal, že nemám pravdu, Urážely mě",spíše nesouhlasím,spíše nesouhlasím,spíše souhlasím,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
rok nebo kratší dobu,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Kvůli přehledu křesťanských akcí","Psaní blogu,  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Napsat článek, který četlo hodně lidí",ano,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,vůbec,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,,jednou nebo několikrát týdně,jednou nebo několikrát týdně,,,,spíše nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,Vkládám jsem fotky,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,Nepříjemné vzkazy od kamarádů,Byly od kamaráda,je mi to jedno,zcela souhlasím,zcela souhlasím,Byly od kamaráda,je mi to jedno,zcela souhlasím,zcela souhlasím,žena,25-30,"ne, vzdělání mám již ukončené",Výuční list obor pečovatelka pekař,Odborné učiliště
10 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Protože rád diskutuji,  Sleduji diskuze","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Najít nové kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vícekrát za den,,každý den,,,,,vůbec nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,,,,,,,,,,muž,30-40,"ne, vzdělání mám již ukončené",,VŠ - technický obor
9 let,už si nepamatuji,několikrát za týden,"už je to spíš rutina, kouknout se, občas si přečtu nějaký zajímavý článek, anebo kvůli informacím o akci typu Krakow, která nemá info nikde jinde","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Psát si se svými kamarády",ano,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,vůbec,každý den,vůbec,vůbec,vůbec,ne,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,"dřív to bylo kvůli společenství křesťanských uživatelů, četla jsem povzbuzující a zajímavé články od přátel, jezdila jsem na akce, kde signály byly a potkávala lidi z týmu... dnes veškerá aktivita klesla, možná je to tím, že lidi, kteří byli aktivní v té době už teď mají své rodiny a jsou aktivnější v reálu a mladší kamarádi jsou na facebooku",zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše nesouhlasím,zcela souhlasím,je mi to jedno,spíše souhlasím,spíše nesouhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Byly od cizího člověka, prosazovali svůj názor bez možnosti připustit diskusi",vůbec nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,"Byly od cizího člověka, Nevěděl/a jsem, od koho jsou",vůbec nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,žena,21-25,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - humanitní obor,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
7 let,od kamaráda,jednou denně,"Protože rád čtu blogy,  Protože rád čtu redakční obsah,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Čtení redakčního obsahu,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,denně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,vůbec,,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,je mi to jedno,zcela souhlasím,je mi to jedno,zcela souhlasím,je mi to jedno,zcela souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,16-18,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)","SŠ - s odborným zaměřením (průmyslová, obchodní apod.)",ZŠ
3 roky,náhodným brouzdáním na internetu,několikrát denně (nebo je mám otevřené celý den),kvůli duchovnímu obsahu signálů,Psaní blogu,"Přečíst si článek, který mě povzbudil",ne,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,ne,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,,Nepříjemné vzkazy od cizích lidí,,,,,"Nevěděl/a jsem, od koho jsou",vůbec nesouhlasím,je mi to jedno,je mi to jedno,muž,21-25,"ne, vzdělání mám již ukončené",,
8 let,od kamaráda,jednou denně,"Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Psát si se svými kamarády",ano,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,ne,spíše nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,21-25,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
9 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Psát si se svými kamarády,  Najít nové kamarády,  Najít partnera/partnerku",ne,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,denně,vůbec,vůbec,vůbec,vícekrát za den,alespoň jednou týdně,méně než jednou týdně,vůbec,,každý den,vůbec,vícekrát za den,několikrát za měsíc nebo méně,vůbec,vůbec,,"ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
5 let,od kamaráda,jednou za měsíc nebo méně,Protože rád čtu blogy,"Psaní blogu,  Čtení blogů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil",ano,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,každý den,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,ne,vůbec nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,19-20,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - přírodovědný obor,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
10 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Protože rád čtu blogy","Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít křesťanskou akci, na kterou jsem pak jel",ano,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,denně,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,vícekrát za den,vůbec,každý den,vůbec,vůbec,vůbec,,vůbec nesouhlasím,spíše nesouhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",,je mi to jedno,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,spíše nesouhlasím,spíše souhlasím,je mi to jedno,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,jinak,několikrát za týden,Slovo na den,"Psaní blogu,  Čtení blogů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil",ne,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,spíše souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,40-50,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
10 let,od kamaráda,několikrát za týden,"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Protože rád čtu blogy,  Kvůli přehledu křesťanských akcí,  Fotky přátel","Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Prohlížení a sdílení fotek","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,ne,zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,zcela souhlasím,je mi to jedno,zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,Nepříjemné komentáře od cizích lidí,"Nevěděl/a jsem, od koho jsou",vůbec nesouhlasím,je mi to jedno,je mi to jedno,"Nevěděl/a jsem, od koho jsou",vůbec nesouhlasím,je mi to jedno,je mi to jedno,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),Protože rád čtu blogy,"Čtení blogů,  Čtení redakčního obsahu,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Lépe poznat nauku vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vícekrát za den,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,vůbec,ne,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,"Signály jsou pro mě určitá náhrada facebooku. Znám se a vím, že kdybych měla facebook, tak jsem na něm hodně často a šťourala bych se ve věcech, který by mi nebyly k prospěchu. Signály jsou v tomto bezpečnější, protože tady není tak velká aktivita, takže nezabiju tolik času - za 15 minut mám po prohlížení :D A navíc sem lidi nedávají věci, který bych o nich radši nevěděla, jak je tomu jinde.",spíše souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,je mi to jedno,je mi to jedno,spíše nesouhlasím,je mi to jedno,je mi to jedno,Nepříjemné komentáře od cizích lidí,"Byly od cizího člověka, Byly od někoho, kdo je o hodně starší, Urážely mě",je mi to jedno,je mi to jedno,je mi to jedno,"Byly od cizího člověka, Byly od někoho, kdo je o hodně starší, Urážely mě",je mi to jedno,je mi to jedno,je mi to jedno,žena,21-25,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - humanitní obor,VŠ - humanitní obor
5 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám","Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil,  Psát si se svými kamarády",ano,vůbec,alespoň jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,alespoň jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vícekrát za den,vůbec,vícekrát za den,vícekrát za den,vůbec,vůbec,,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,zcela souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,spíše souhlasím,spíše souhlasím,zcela souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od kamarádů","Vyjadřovaly jiný názor, než mám já, Urážely mě",spíše souhlasím,zcela souhlasím,zcela souhlasím,Urážely mě,spíše souhlasím,spíše souhlasím,zcela souhlasím,muž,19-20,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - technický obor,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
8 let,už si nepamatuji,několikrát za týden,"Kvůli kontaktu s kamarády, které moc často nevídám,  Protože tu píšu blog,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Psát si se svými kamarády",ano,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,denně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,každý den,vůbec,vůbec,vůbec,vůbec,vůbec,WhatsUpp,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,vůbec nesouhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,je mi to jedno,vůbec nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,Nepříjemné vzkazy od cizích lidí,,je mi to jedno,je mi to jedno,je mi to jedno,"Byly od cizího člověka, Nevěděl/a jsem, od koho jsou, Vyjadřovaly jiný názor, než mám já",vůbec nesouhlasím,vůbec nesouhlasím,je mi to jedno,muž,21-25,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - přírodovědný obor,VŠ - technický obor
rok nebo kratší dobu,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Protože rád diskutuji,  Ráda bych poznala nové věřící kamarády ☺","Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Lépe poznat nauku vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel",ano,alespoň jednou týdně,vůbec,vůbec,alespoň jednou týdně,denně,alespoň jednou týdně,vůbec,vůbec,alespoň jednou týdně,alespoň jednou týdně,denně,vůbec,denně,vůbec,méně než jednou týdně,vůbec,vůbec,každý den,,každý den,každý den,,,"Snapchat, Messenger","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,13-15,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",ZŠ,ZŠ
